observed,predicted
0.0124333708031209,0.029068255781965133
0.0178630948240239,0.016236030806346103
0.0123406019875465,0.01580808521067741
0.0079581072681069,0.01055005991818792
0.0159695736921119,0.014894109142424923
0.0110597006893281,0.014704730813847693
0.0122937981360503,0.00797270904267769
0.0093068531489254,0.01972699821575746
0.0248198461105632,0.01967475255773361
0.0778045530479191,0.03557893977116956
0.0016305722069151,0.019643151434500215
0.0111990904276702,0.01023405198602773
0.033132096180529,0.043687601808485
0.0156515725004325,0.02194377598629752
0.016694580838534,0.013803168718945803
0.0089552751187124,0.014666008923936089
0.0142871661345949,0.014055387594758235
0.0153404175797181,0.019411767906438088
0.0288720224504691,0.02496824645626383
0.0093785374553485,0.011431425537509437
0.0119214573292205,0.014785447694423234
0.0046465272793577,0.011594960982721824
0.0054876119219981,0.010604393187822778
0.0154841951591341,0.04181692298281967
0.0112317728771546,0.021814330636387495
0.0115733012381617,0.015456534230404249
0.0192936541281938,0.05375006315311545
0.0389601529219983,0.016087448890403783
0.0425255922762776,0.06602945618485145
0.0077463766082473,0.024890386552617452
0.0249483591872809,0.012199439445856093
0.0126536731027535,0.02830575601320664
0.0030147348139538,0.022688342437093008
0.0073798477433951,0.011630605176318459
0.0045239629078454,0.03470255045233785
0.0156836883260852,0.02485078737672624
0.0133117817607981,0.05310230267913258
0.0325880635144281,0.004413438822662198
0.0301368108053299,0.01766101010493038
0.0169964153543504,0.014151485037105452
0.0202789722096819,0.021066318908775167
0.0033726118761313,0.0451690487749178
0.0141214520926422,0.013506413048442412
0.0375171281763915,0.01547609268770618
0.0044140708467223,0.0212897657981249
0.0416057825655987,0.016379101933839953
0.0220077919515419,0.01283456876938985
0.0147502389996802,0.0229776053133143
0.0380376877448281,0.07793655149678
0.1047841250898246,0.041420128741936665
0.0096918487648092,0.0030570891736691236
0.021222430374159,0.012870715190292271
0.0141937683973509,0.035888025200526225
0.0096160503446757,0.018720311702193262
0.0323705523637763,0.0635807136656586
0.0081996157059833,0.0127542881147275
0.0137126571146221,0.017432839196741545
0.0044628493637833,0.004506339894786545
0.0165980608922881,0.01349772102004628
0.0106847448092558,0.010954206725318119
0.0350586709233607,0.017303860364788363
0.0088459186961074,0.020974949623044404
0.012206985242163,0.025829837948527237
0.0099524879980225,0.03281360574758561
0.0143448743801201,0.025187124372567656
0.0289233417782097,0.005879160584493226
0.0210248941714692,0.01210122098549133
0.0078782208240484,0.022630791979854504
